Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
38447,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",4,4.10,Anchor Books,Paperback,312,1998,1985,2011/12/24,2014/02/24,,,read,,,,1,,,0,,,,,
6586456,"Naamah's Curse (Naamah Trilogy, #2)",Jacqueline Carey,"Carey, Jacqueline",,"=""0575093617""","=""9780575093614""",0,4.13,Gollancz,Paperback,576,2010,2010,,2014/02/24,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
9519912,"Naamah's Blessing (Naamah Trilogy, #3)",Jacqueline Carey,"Carey, Jacqueline",,"=""0446198072""","=""9780446198073""",0,4.21,Grand Central Publishing,Hardcover,610,2011,2011,,2014/02/24,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
5659537,"Naamah's Kiss (Naamah Trilogy, #1)",Jacqueline Carey,"Carey, Jacqueline",,"=""044619803X""","=""9780446198035""",0,4.11,Grand Central Publishing,Hardcover,645,2009,2009,,2014/02/24,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
4934,The Brothers Karamazov,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor","Fyodor Dostoevsky, Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,4.32,"Farrar, Straus and Giroux",Paperback,796,2002,1879,,2014/02/24,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
11949135,"Shadows Alive (Ender's Shadow, #6)",Orson Scott Card,"Card, Orson Scott",,"=""""","=""""",0,4.17,,,,,,,2014/02/24,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
8647,"Shadow of the Giant (Ender's Shadow, #4)",Orson Scott Card,"Card, Orson Scott",,"=""1841492051""","=""9781841492056""",0,4.00,,Hardcover,388,2005,2005,,2014/02/24,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
12040447,"Shadows in Flight (Ender's Shadow, #5)",Orson Scott Card,"Card, Orson Scott",,"=""0765332000""","=""9780765332004""",0,3.79,Tor Books,Hardcover,237,2012,2011,,2014/02/24,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
234724,"Shadow Puppets (The Shadow Series, #3)",Orson Scott Card,"Card, Orson Scott",,"=""0765340054""","=""9780765340054""",0,3.89,Tor Books,Paperback,384,2003,2002,,2014/02/24,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
9534,"Shadow of the Hegemon (The Shadow Series, #2)",Orson Scott Card,"Card, Orson Scott",,"=""0812565959""","=""9780812565959""",0,3.95,Tor Books,Mass Market Paperback,451,2001,2000,,2014/02/24,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
9532,"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0765342405""","=""9780765342409""",0,4.31,Starscape,Paperback,469,2002,1999,,2014/02/24,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
3220405,"Ender in Exile (Ender's Saga, #1.2)",Orson Scott Card,"Card, Orson Scott",,"=""0765304961""","=""9780765304964""",0,3.90,St. Martins Press-3PL,Hardcover,369,2008,2008,,2014/02/24,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
31360,"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,"Card, Orson Scott",,"=""0765304740""","=""9780765304742""",5,3.76,Tor Books,Paperback,370,2002,1996,2012/06/01,2014/02/24,,,read,,,,1,,,0,,,,,
8648,"Xenocide (Ender's Saga, #3)",Orson Scott Card,"Card, Orson Scott",Piotr W. Cholewa,"=""0312861877""","=""9780312861872""",5,3.79,Tor Books,Mass Market Paperback,592,1996,1991,,2014/02/24,,,read,,,,1,,,0,,,,,
552987,"A War of Gifts (Ender's Saga, #1.1)",Orson Scott Card,"Card, Orson Scott",,"=""0765312824""","=""9780765312822""",0,3.67,Tor Books,Hardcover,126,2013,2007,,2014/02/24,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott","Stefan Rudnicki, Harlan Ellison","=""0812550706""","=""9780812550702""",5,4.30,Macmillan Audio,Audiobook,324,2004,1985,2012/01/01,2014/02/24,,,read,,,,1,,,0,,,,,
7957,"First Meetings in Ender's Universe (Ender's Saga, #0.5)",Orson Scott Card,"Card, Orson Scott",,"=""0765347989""","=""9780765347985""",0,3.84,Tor,Paperback,212,2004,1999,,2014/02/24,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,"Herbert, Frank",,"=""0441102670""","=""9780441102679""",4,3.91,Ace Books,Mass Market Paperback,436,1987,1985,2012/08/01,2014/02/24,,,read,,,,1,,,0,,,,,
