Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17839991,Always Right,Niall Ferguson,"Ferguson, Niall",,"=""""","=""""",2,3.57,Odyssey Editions,Kindle Edition,34,2013,2013,2017/03/11,2017/03/10,,,read,,,,1,,,0,,,,,
17284577,Guns,Stephen King,"King, Stephen",,"=""""","=""""",2,4.17, Philtrum Press,Kindle Edition,25,2013,2013,2017/03/07,2017/03/08,,,read,,,,1,,,0,,,,,
27840596,Heart Made Whole: Turning Your Unhealed Pain into Your Greatest Strength,Christa Black Gifford,"Gifford, Christa Black",Lisa Bevere,"=""0310346495""","=""9780310346494""",4,4.46,Zondervan,Paperback,208,2016,,2017/03/06,2017/03/06,,,read,,,,1,,,0,,,,,
25677935,A Spy's Guide to Thinking,John  Braddock,"Braddock, John",,"=""""","=""""",2,3.55,,Kindle Edition,43,2015,2015,2017/03/05,2017/03/05,,,read,,,,1,,,0,,,,,
11861721,The Heart of Haiku,Jane Hirshfield,"Hirshfield, Jane",,"=""""","=""""",2,3.91,Jane Hirshfield,Kindle Edition,29,2011,2011,2017/03/05,2017/03/05,,,read,,,,1,,,0,,,,,
12978407,The Long Run,Mishka Shubaly,"Shubaly, Mishka",,"=""""","=""""",4,3.67,,Kindle Edition,61,2011,2011,2017/03/04,2017/03/04,,,read,,,,1,,,0,,,,,
6403690,"Counterfeit Gods: The Empty Promises of Money, Sex, and Power, and the Only Hope that Matters",Timothy J. Keller,"Keller, Timothy J.",,"=""0525951369""","=""9780525951360""",4,4.33,Viking,Hardcover,240,2009,2009,2017/03/03,2017/03/03,,,read,,,,1,,,0,,,,,
24043175,Mapping Your Academic Career: Charting the Course of a Professor's Life,Gary M. Burge,"Burge, Gary M.",,"=""0830824731""","=""9780830824731""",4,3.74,IVP Academic,Paperback,144,2015,2015,2017/02/25,2017/02/26,,,read,,,,1,,,0,,,,,
13579364,The Freedom of Self-Forgetfulness,Timothy J. Keller,"Keller, Timothy J.",,"=""1906173419""","=""9781906173418""",4,4.46,10Publishing,Paperback,46,2012,2012,2017/02/25,2017/02/25,,,read,,,,1,,,0,,,,,
161419,The Life You've Always Wanted: Spiritual Disciplines for Ordinary People,John Ortberg,"Ortberg, John",,"=""0310246954""","=""9780310246954""",3,4.05,Zondervan,Hardcover,272,2002,1997,2017/02/25,2017/02/25,,,read,"""Divine Conspiracy for Dummies""",,,1,,,0,,,,,
